"plate"	"Chain"	"SMARTindex"	"RawReads"	"ReadsWithPrimer"	"Ga12HC"	"Ga3HC"	"LaLC"	"KaLC"	"ReadsToFilter"	"PassedAberrantFilter"	"Aberrant_LC_reads"	"ReadsToOverlap"	"ShortInsert"	"MediumInserts"	"LongInserts"	"Overlapped"	"LengthFiltered"
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//01-SMARTindex"	1e+05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//02-SMARTindex"	1e+05	321	321	0	0	0	321	321	0	321	29	253	39	282	240
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//03-SMARTindex"	1e+05	34	34	0	0	0	34	34	0	34	8	18	8	26	17
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//04-SMARTindex"	1e+05	119	119	0	0	0	119	119	0	119	5	102	12	107	100
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//05-SMARTindex"	1e+05	178	177	1	0	0	178	178	0	178	23	145	10	168	143
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//06-SMARTindex"	1e+05	5	5	0	0	0	5	5	0	5	4	1	0	5	0
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//07-SMARTindex"	1e+05	116	116	0	0	0	116	116	0	116	8	92	16	100	91
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//08-SMARTindex"	1e+05	9	9	0	0	0	9	9	0	9	9	0	0	9	0
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//09-SMARTindex"	1e+05	316	316	0	0	0	316	316	0	316	18	272	26	290	266
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//10-SMARTindex"	1e+05	34	34	0	0	0	34	34	0	34	5	27	2	32	27
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//11-SMARTindex"	1e+05	248	248	0	0	0	248	248	0	248	10	214	24	224	211
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//12-SMARTindex"	1e+05	2	2	0	0	0	2	2	0	2	1	0	1	1	0
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//13-SMARTindex"	1e+05	427	422	5	0	0	427	427	0	427	22	374	31	396	372
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//14-SMARTindex"	1e+05	100	100	0	0	0	100	100	0	100	17	81	2	98	81
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//15-SMARTindex"	1e+05	15	15	0	0	0	15	15	0	15	2	11	2	13	11
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//16-SMARTindex"	1e+05	12	12	0	0	0	12	12	0	12	10	2	0	12	1
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//17-SMARTindex"	1e+05	164	164	0	0	0	164	164	0	164	19	132	13	151	126
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//18-SMARTindex"	1e+05	100	100	0	0	0	100	100	0	100	1	75	24	76	75
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//19-SMARTindex"	1e+05	322	322	0	0	0	321	321	0	321	23	279	19	302	275
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//20-SMARTindex"	1e+05	349	348	1	0	0	349	349	0	349	14	301	34	315	298
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//21-SMARTindex"	1e+05	300	298	2	0	0	300	300	0	300	10	267	23	277	261
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//22-SMARTindex"	1e+05	97	96	1	0	0	97	97	0	97	19	72	6	91	72
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//23-SMARTindex"	1e+05	36	36	0	0	0	36	36	0	36	12	21	3	33	19
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//24-SMARTindex"	1e+05	165	165	0	0	0	165	165	0	165	8	130	27	138	127
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//25-SMARTindex"	1e+05	118	118	0	0	0	118	118	0	118	7	101	10	108	101
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//26-SMARTindex"	1e+05	4	4	0	0	0	4	4	0	4	4	0	0	4	0
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//27-SMARTindex"	1e+05	111	111	0	0	0	111	111	0	111	16	89	6	105	82
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//28-SMARTindex"	1e+05	170	170	0	0	0	170	170	0	170	41	117	12	158	115
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//29-SMARTindex"	1e+05	30	29	1	0	0	30	30	0	30	1	26	3	27	26
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//30-SMARTindex"	1e+05	355	12	343	0	0	355	355	0	355	13	288	54	301	286
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//31-SMARTindex"	1e+05	10	10	0	0	0	10	10	0	10	8	2	0	10	2
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//32-SMARTindex"	1e+05	466	466	0	0	0	466	466	0	466	23	415	28	438	407
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//33-SMARTindex"	1e+05	314	313	1	0	0	314	314	0	314	19	270	25	289	262
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//34-SMARTindex"	1e+05	307	307	0	0	0	307	307	0	307	15	264	28	279	260
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//35-SMARTindex"	1e+05	14	14	0	0	0	14	14	0	14	2	9	3	11	8
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//36-SMARTindex"	1e+05	81	81	0	0	0	81	81	0	81	1	72	8	73	70
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//37-SMARTindex"	1e+05	22	22	0	0	0	22	22	0	22	4	15	3	19	12
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//38-SMARTindex"	1e+05	80	79	1	0	0	80	80	0	80	8	61	11	69	60
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//39-SMARTindex"	1e+05	191	188	3	0	0	191	191	0	191	17	157	17	174	156
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//40-SMARTindex"	1e+05	503	499	4	0	0	503	503	0	503	41	427	35	468	422
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//41-SMARTindex"	1e+05	3	3	0	0	0	3	3	0	3	0	3	0	3	3
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//42-SMARTindex"	1e+05	612	611	1	0	0	612	612	0	612	16	496	100	512	494
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//43-SMARTindex"	1e+05	128	127	1	0	0	128	128	0	128	68	53	7	121	51
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//44-SMARTindex"	1e+05	73	73	0	0	0	73	73	0	73	2	65	6	67	65
"TRIMMER0090_P79"	"H"	"/nmspipeline/01-Processing/TRIMMER0090_P79/01-PrimerTrim//45-SMARTindex"	1e+05	11	11	0	0	0	11	11	0	11	5	5	1	10	5
