sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index
P79_A1	A1	Empty for negative control	15	3.01					
P79_A2	A2	K7/45.5	83.2	3.01					
P79_A3	A3	K7/45.6	34.6	3.01					
P79_A4	A4	L6/23.5	46.8	3.01					
P79_A5	A5	L8/15.4	38.9	3.01					
P79_A6	A6	K9/40.6	47.2	3.01					
P79_A7	A7	K13/31.3	200	3.01					
P79_A8	A8	K55/7.3	27.4	3.01					
P79_A9	A9	K55/7.4	32.5	3.01					
P79_A10	A10	K55/7.2	46.1	3.01					
P79_A11	A11	N442/38.2	83.6	3.01					
P79_A12	A12	N1/12.2	42.2	3.01					
P79_B1	B1	N436/61.2	76.8	3.01					
P79_B2	B2	N7/18.2	58.7	3.01					
P79_B3	B3	N7/18.3	29	3.01					
P79_B4	B4	N19/2.1	200	3.01					
P79_B5	B5	N104/37.3	29	3.01					
P79_B6	B6	N103/39.2	68.8	3.01					
P79_B7	B7	N28/9.2	64.3	3.01					
P79_B8	B8	N103/31.1	34.4	3.01					
P79_B9	B9	N56/9.4	22.2	3.01					
P79_B10	B10	N56/9.5	40.6	3.01					
P79_B11	B11	N363/71.4	24.7	3.01					
P79_B12	B12	L86/33.1.2	15	3.01					
P79_C1	C1	N372C/51.1	39.1	3.01					
P79_C2	C2	N444/63.2.3	46.8	3.01					
P79_C3	C3	N382/14.4	41	3.01					
P79_C4	C4	N393/2.4	78.3	3.01					
P79_C5	C5	L118/66.3	15	3.01					
P79_C6	C6	N299/39.5	200	3.01					
P79_C7	C7	N439/46.4	36.9	3.01					
P79_C8	C8	N439/52.2	37.7	3.01					
P79_C9	C9	N299/39.2	41.8	3.01					
P79_C10	C10	N408/79.8	40.6	3.01					
P79_C11	C11	N320/48.4	58.1	3.01					
P79_C12	C12	N327/95.3	57.7	3.01					
P79_D1	D1	K60/73.3	34	3.01					
P79_D2	D2	K60/73.5	62.2	3.01					
P79_D3	D3	N38/8.5	36.5	3.01					
P79_D4	D4	N52A/42.4	36.5	3.01					
P79_D5	D5	N81/2.4	15	3.01					
P79_D6	D6	N81/2.5	28.8	3.01					
P79_D7	D7	N52b/27.4	16.9	3.01					
P79_D8	D8	N88/12.2	119.5	3.01					
P79_D9	D9	N94/17.2	20.2	3.01					
P79_D10	D10	N474/59.5	57.9	3.01					
P79_D11	D11	N121A/1.2	26.4	3.01					
P79_D12	D12	N121A/1.3	70	3.01					
P79_E1	E1	N443/15.2	23.1	3.01					
P79_E2	E2	N443/17.2	64.3	3.01					
P79_E3	E3	N140A/12.3	46.3	3.01					
P79_E4	E4	N474/2.4	15.4	3.01					
P79_E5	E5	L83/11.1	34.8	3.01					
P79_E6	E6	L83/11.2	35.4	3.01					
P79_E7	E7	N358/68.3	37.1	3.01					
P79_E8	E8	N436/91.1.1	62	3.01					
P79_E9	E9	N51/6.3	33.4	3.01					
P79_E10	E10	N238/31.2	23.1	3.01					
P79_E11	E11	N212A/34.2	45.7	3.01					
P79_E12	E12	N290B/25.1	35	3.01					
P79_F1	F1	N414/25.1.4	20.6	3.01					
P79_F2	F2	N18/28.1.2	85.5	3.01					
P79_F3	F3	N18/28.1.3	51.3	3.01					
P79_F4	F4	N325B/65.2	66.3	3.01					
P79_F5	F5	N18/28.1.5	49.2	3.01					
P79_F6	F6	N428/12.5	158.6	3.01					
P79_F7	F7	N175/9.7	21.6	3.01					
P79_F8	F8	N175/9.9	24.7	3.01					
P79_F9	F9	N210/5.2	96.8	3.01					
P79_F10	F10	N210/5.3	57.7	3.01					
P79_F11	F11	N416/40.1.4	19	3.01					
P79_F12	F12	N230/21.1	18.7	3.01					
P79_G1	G1	L106/93.3	15	3.01					
P79_G2	G2	L106/93.4	53.8	3.01					
P79_G3	G3	L88/86.1	45.1	3.01					
P79_G4	G4	L88/86.2	22.7	3.01					
P79_G5	G5	N245/1.2	25.1	3.01					
P79_G6	G6	N245/1.3	37.1	3.01					
P79_G7	G7	L88/86.3	52.5	3.01					
P79_G8	G8	N253/32.2	16.3	3.01					
P79_G9	G9	N443/75.2	26.6	3.01					
P79_G10	G10	L109/39.3	19.6	3.01					
P79_G11	G11	L109/39.5	17.1	3.01					
P79_G12	G12	L118/66.1	15.4	3.01					
P79_H1	H1	N444/63.1	15	3.01					
P79_H2	H2	N471/27.2	53.6	3.01					
P79_H3	H3	N438/98.10	42.2	3.01					
P79_H4	H4	N439/35.3	45.9	3.01					
P79_H5	H5	N439/39.4	28.2	3.01					
P79_H6	H6	Empty for negative control	15	3.01					
P79_H7	H7	N439/72.4	51.7	3.01					
P79_H8	H8	N473/7.5	27.2	3.01					
P79_H9	H9	N473/77.4	43	3.01					
P79_H10	H10	L123/109.4	63.9	3.01					
P79_H11	H11	Empty for negative control	15	3.01					
P79_H12	H12	Positive control L100/1.2	15	3.01					

