sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index
P80_A1	A1	N52A/42.1	19.4	7.4					
P80_A2	A2	N52A/42.2	15.6	7.4					
P80_A3	A3	K7/25.4	37.4	7.4					
P80_A4	A4	K7/25.6	62.4	7.4					
P80_A5	A5	N1/12.3	44.1	7.4					
P80_A6	A6	N1/12.5	37.9	7.4					
P80_A7	A7	N1/66.5	58.6	7.4					
P80_A8	A8	K56A/50.2	85.5	7.4					
P80_A9	A9	N10/7.2	34.6	7.4					
P80_A10	A10	N10/7.3	29.4	7.4					
P80_A11	A11	N106/65.2	44.1	7.4					
P80_A12	A12	N106/65.3	46.8	7.4					
P80_B1	B1	N19/2.3	112.2	7.4					
P80_B2	B2	N19/2.4	90.7	7.4					
P80_B3	B3	N3/26.2	17.8	7.4					
P80_B4	B4	N103/31.4	63.3	7.4					
P80_B5	B5	N103/31.5	36.5	7.4					
P80_B6	B6	N103/39.3	104.6	7.4					
P80_B7	B7	N103/39.4	99.2	7.4					
P80_B8	B8	N15/39.2	70.6	7.4					
P80_B9	B9	N28/9.3	70.1	7.4					
P80_B10	B10	N28/9.4	38.9	7.4					
P80_B11	B11	N295B/66.3	60.4	7.4					
P80_B12	B12	N327/95.4	55.7	7.4					
P80_C1	C1	N327/95.5	39.5	7.4					
P80_C2	C2	N393/76.2	20.4	7.4					
P80_C3	C3	N320/48.3	50.9	7.4					
P80_C4	C4	N268/19.2	37.8	7.4					
P80_C5	C5	N279B/27.2	84.9	7.4					
P80_C6	C6	N271/44.1	71.4	7.4					
P80_C7	C7	N302/10.2	26	7.4					
P80_C8	C8	N74/25.3	49.5	7.4					
P80_C9	C9	N74/25.4	38.1	7.4					
P80_C10	C10	N75/33.2	103.8	7.4					
P80_C11	C11	N93A/49.3	100.6	7.4					
P80_C12	C12	N93A/49.4	63.8	7.4					
P80_D1	D1	N127/31.2	15	7.4					
P80_D2	D2	N127/31.3	16.4	7.4					
P80_D3	D3	N94/17.3	26.8	7.4					
P80_D4	D4	N94/17.4	15.3	7.4					
P80_D5	D5	N70/28.2	159.1	7.4					
P80_D6	D6	N84/37.2	38.3	7.4					
P80_D7	D7	N50/36.2	100.4	7.4					
P80_D8	D8	N151/3.2	15	7.4					
P80_D9	D9	N196/16.2	29.8	7.4					
P80_D10	D10	N170A/26.3	37.5	7.4					
P80_D11	D11	N192/12.2	40.6	7.4					
P80_D12	D12	N221/17.1	71.6	7.4					
P80_E1	E1	N51/6.4	22.2	7.4					
P80_E2	E2	N51/6.5	24.9	7.4					
P80_E3	E3	N454/91.2	104.5	7.4					
P80_E4	E4	N454/91.3	85.5	7.4					
P80_E5	E5	N238/31.4	58.9	7.4					
P80_E6	E6	N238/31.5	34.8	7.4					
P80_E7	E7	N263/31.3	31.2	7.4					
P80_E8	E8	N263/31.4	16.4	7.4					
P80_E9	E9	N325B/65.3	37.6	7.4					
P80_E10	E10	N325B/65.4	20.7	7.4					
P80_E11	E11	N332B/15	49.7	7.4					
P80_E12	E12	L129/14.1	71.4	7.4					
P80_F1	F1	L129/14.2	23.8	7.4					
P80_F2	F2	L129/23.1	49.4	7.4					
P80_F3	F3	L129/23.3	61.1	7.4					
P80_F4	F4	L129/57.1	40.9	7.4					
P80_F5	F5	L129/57.2	65.4	7.4					
P80_F6	F6	L129/57.3	72.5	7.4					
P80_F7	F7	L129/62.2	64.7	7.4					
P80_F8	F8	L129/62.3	57.1	7.4					
P80_F9	F9	L129/86.2	61.2	7.4					
P80_F10	F10	L129/88.1	56.2	7.4					
P80_F11	F11	L129/88.2	65.3	7.4					
P80_F12	F12	L129/88.3	41.8	7.4					
P80_G1	G1	L129/117.1	34.3	7.4					
P80_G2	G2	L129/117.2	57.6	7.4					
P80_G3	G3	L129/117.3	51.3	7.4					
P80_G4	G4	L129/123.3	45.5	7.4					
P80_G5	G5	L129/6.1	40.2	7.4					
P80_G6	G6	L129/6.2	42.7	7.4					
P80_G7	G7	L129/14.3	41.7	7.4					
P80_G8	G8	L129/23.2	45.5	7.4					
P80_G9	G9	L129/62.1	28.5	7.4					
P80_G10	G10	L129/123.1	50.2	7.4					
P80_G11	G11	L129/123.2	36	7.4					
P80_G12	G12	N133/21.3	37	7.4					
P80_H1	H1	N133/21.4	73.7	7.4					
P80_H2	H2	N105/13.4	21.3	7.4					
P80_H3	H3	L114/3.1	15	7.4					
P80_H4	H4	L114/3.2	28.9	7.4					
P80_H5	H5	N144/14.3	74.1	7.4					
P80_H6	H6	N159/5.2	37.9	7.4					
P80_H7	H7	N159/5.3	41.5	7.4					
P80_H8	H8	N202/7.1.1	66.2	7.4					
P80_H9	H9	N228A/16.2	60.6	7.4					
P80_H10	H10	N230/21.2	34.3	7.4					
P80_H11	H11	NEG CNT	15	7.4					
P80_H12	H12	NEG CNT	15	7.4					

